occurrenceID,family,familyAccepted,acceptedNameUsage,acceptedNameUsageWithoutAuthorship,decimalLatitude,decimalLongitude,georeferenceProtocol,georeferenceVerificationStatus,georeferencedBy,georeferencedDate,georeferencePrecision,coordinateUncertaintyInMeters,acceptedNameUsage,valid,validation_taxonomy,validation_cultivated,validation_duplicated,validation_native,validation_georeference,contributor,remarks
occurrence:rj:1665330,Calophyllaceae,CALOPHYLLACEAE,"Kielmeyera rizziniana Saddi","Kielmeyera rizziniana",-22.48222222,-42.9125,,nok,"Fernanda Wimmer",,,,"Kielmeyera rizziniana Saddi",false,valid,no,yes,native,valid,"Rafaela Jorge Trad ; Marta Moraes ; Fernanda Wimmer ; Raquel",
occurrence:rj:1670617,Dichapetalaceae,DICHAPETALACEAE,"Stephanopodium estrellense Baill.","Stephanopodium estrellense",-22.935203,-43.471631,sig,ok,,,,"centroide de municipio","Stephanopodium estrellense Baill.",true,valid,no,no,native,valid,"Fernanda Wimmer ; Herison Medeiros  ; Eduardo Fernandez","Coordinate uncertainty: Precision at the level of country Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=260451&base=img&lang=enCoordinate uncertainty: Precision at the level of country Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=260451&base=img&lang=en"
occurrence:rj:1670619,Dichapetalaceae,DICHAPETALACEAE,"Stephanopodium estrellense Baill.","Stephanopodium estrellense",-1077305556,-5308972222,,nok,"Fernanda Wimmer",,,,"Stephanopodium estrellense Baill.",false,,,yes,,,"Fernanda Wimmer ; Herison Medeiros  ; Eduardo Fernandez",
occurrence:rj:1671928,Malvaceae,MALVACEAE,"Waltheria glazioviana K.Schum.","Waltheria glazioviana",-22.937212,-43.124592,"google earth",ok,,,,"250 a 1000 m ","Waltheria glazioviana K.Schum.",,,,,,,"Fernanda Wimmer ; Eduardo Fernandez",
occurrence:rj:167690,Bromeliaceae,BROMELIACEAE,"Vriesea atra Mez","Vriesea atra",-23.996388,-46.661981,sig,ok,"Fernanda Wimmer",,,"centroide de uc","Vriesea atra Mez",true,,,,,,"Fernanda Wimmer ; Rodrigo Amaro",
occurrence:rj:1710928,Moraceae,MORACEAE,"Maclura brasiliensis (Mart.) Endl.","Maclura brasiliensis",-19.019656,-48.360579,sig,ok,"Fernanda Wimmer",,,"centroide de municipio","Maclura brasiliensis (Mart.) Endl.",true,,,,,,"Fernanda Wimmer ; Raquel",
occurrence:rj:1885000,Rubiaceae,RUBIACEAE,"Hindsia ramosissima Gardner","Hindsia ramosissima",-23.378112,-45.022914,sig,ok,,,,"centroide de municipio","Hindsia ramosissima Gardner",,,,,,,"Tomás Amorim ; Raquel",
occurrence:rj:1893007,Calophyllaceae,CALOPHYLLACEAE,"Kielmeyera rizziniana Saddi","Kielmeyera rizziniana",-23.003849,-43.421422,"google earth",ok,"Fernanda Wimmer",,,"0 a 250 m","Kielmeyera rizziniana Saddi",false,unknown,unknown,yes,unknown,unknown,"Marta Moraes ; Fernanda Wimmer ; Raquel",
occurrence:rj:1986938,Clusiaceae,CALOPHYLLACEAE,"Kielmeyera rizziniana Saddi","Kielmeyera rizziniana",-23.003849,-43.421422,"google earth",ok,,,,"0 a 250 m","Kielmeyera rizziniana Saddi",false,unknown,unknown,yes,unknown,unknown,"Marta Moraes ; Fernanda Wimmer ; Raquel",
occurrence:rj:198939,Sterculiaceae,MALVACEAE,"Waltheria petiolata K.Schum.","Waltheria petiolata",-8.358056,-42.246667,,ok,"Fernanda Wimmer",,,,"Waltheria petiolata K.Schum.",true,,,,,,"Fernanda Wimmer ; Eduardo Fernandez",
