family,scientificName,endemic,altitude
POACEAE,"Paspalum petrense",yes,1220
POACEAE,"Paspalum vallsii",yes,350
PASSIFLORACEAE,"Passiflora hypoglauca",yes,
PASSIFLORACEAE,"Passiflora mucugeana",yes,1072~2200
MALPIGHIACEAE,"Peixotoa anadenanthera",yes,1330
MALPIGHIACEAE,"Peixotoa axillaris",yes,800~1000
MALPIGHIACEAE,"Peixotoa gardneri",yes,
MALPIGHIACEAE,"Peixotoa irwinii",yes,1200
MALPIGHIACEAE,"Peixotoa octoflora",yes,
PIPERACEAE,"Peperomia warmingii",yes,
SCROPHULARIACEAE,"Philcoxia goiasensis",yes,800
SCROPHULARIACEAE,"Philcoxia minensis",yes,930~1050
ARACEAE,"Philodendron cipoense",yes,793~1250
ARACEAE,"Philodendron pachyphyllum",yes,400~1500
ARACEAE,"Philodendron rhizomatosum",yes,800
SANTALACEAE,"Phoradendron anamariae",yes,1250
SANTALACEAE,"Phoradendron dimerostachys",yes,1000~1500
SANTALACEAE,"Phoradendron virens",yes,
OROBANCHACEAE,"Physocalyx scaberrimus",yes,941~1900
TURNERACEAE,"Piriqueta araguaiana",yes,
TURNERACEAE,"Piriqueta caiapoensis",yes,800~1000
TURNERACEAE,"Piriqueta cristobaliae",yes,700
TURNERACEAE,"Piriqueta emasensis",yes,
TURNERACEAE,"Piriqueta lourteigiae",yes,720~800
BROMELIACEAE,"Pitcairnia curvidens",yes,1200
MYRTACEAE,"Plinia nana",yes,1394
ACANTHACEAE,"Poikilacanthus bahiensis",yes,800~1900
FABACEAE,"Poiretia bahiana",yes,100~1278
FABACEAE,"Poiretia marginata",yes,
FABACEAE,"Poiretia unifoliolata",yes,900
POLYGALACEAE,"Polygala apparicioi",yes,
POLYGALACEAE,"Polygala asperuloides",yes,300~1000
POLYGALACEAE,"Polygala bevilacquai",yes,
POLYGALACEAE,"Polygala grazielae",yes,
POLYGALACEAE,"Polygala irwinii",yes,300~600
POLYGALACEAE,"Polygala juncea",yes,1000
POLYGALACEAE,"Polygala malmeana",yes,1000
POLYGALACEAE,"Polygala patens",yes,
POLYGALACEAE,"Polygala pseudocoriacea",yes,610
POLYGALACEAE,"Polygala pseudoerica",yes,1400
POLYGALACEAE,"Polygala suganumae",yes,
POLYGALACEAE,"Polygala trifurcata",yes,1000~1600
POLYGALACEAE,"Polygala vollii",yes,1900~2700
GENTIANACEAE,"Prepusa montana",yes,750~1450
BURSERACEAE,"Protium dawsonii",yes,600~1100
MYRTACEAE,"Psidium firmum",yes,
LORANTHACEAE,"Psittacanthus acinarius",no,140~1150
RUBIACEAE,"Psyllocarpus schwackei",yes,1100~1200
MALPIGHIACEAE,"Pterandra hatschbachii",yes,
MALPIGHIACEAE,"Pterandra viridiflora",yes,
MELASTOMATACEAE,"Pterolepis rotundifolia",yes,885~1400
VOCHYSIACEAE,"Qualea elegans",yes,1.15
APOCYNACEAE,"Rauvolfia ligustrina",no,1327
