family,scientificNameWithoutAuthorship,scientificNameAuthorship,acceptedNameUsage
FABACEAE,"Mimosa pycnocoma",Benth.,"Mimosa pycnocoma"
FABACEAE,"Mimosa pyrenea",Taub.,"Mimosa pyrenea"
FABACEAE,"Mimosa regina",Barneby,"Mimosa regina"
FABACEAE,"Mimosa setosissima",Taub.,"Mimosa setosissima"
FABACEAE,"Mimosa splendida",Barneby,"Mimosa splendida"
FABACEAE,"Mimosa ulbrichiana",Harms,"Mimosa ulbrichiana"
FABACEAE,"Mimosa ulei",Taub.,"Mimosa ulei"
FABACEAE,"Mimosa virgula",Barneby,"Mimosa virgula"
FABACEAE,"Moldenhawera acuminata","Afr.Fern. & P.Bezerra","Moldenhawera acuminata"
FABACEAE,"Poiretia bahiana","Müll. Hal.","Poiretia bahiana"
FABACEAE,"Poiretia marginata","Müll. Hal.","Poiretia marginata"
FABACEAE,"Poiretia unifoliolata","Barreto ex A.B.Martins & Pedersoli","Poiretia unifoliolata"
FABACEAE,"Zornia glaziovii",Harms,"Zornia glaziovii"
FABACEAE,"Zornia subsessilis","Fort.-Perez & A.M.G.Azevedo","Zornia subsessilis"
GENTIANACEAE,"Prepusa montana",Mart.,"Prepusa montana"
GENTIANACEAE,"Schultesia bahiensis","E.F.Guim. & Fontella","Schultesia bahiensis"
GENTIANACEAE,"Schultesia crenuliflora",Mart.,"Schultesia crenuliflora"
GENTIANACEAE,"Schultesia irwiniana","E.F.Guim. & Fontella","Schultesia irwiniana"
GENTIANACEAE,"Schultesia pachyphylla",Griseb.,"Schultesia pachyphylla"
GENTIANACEAE,"Schultesia piresiana","E.F.Guim. & Fontella","Schultesia piresiana"
GENTIANACEAE,"Schultesia sucreana","E.F.Guim. & Fontella","Schultesia sucreana"
GESNERIACEAE,"Paliavana plumerioides",Chautems,"Paliavana plumerioides"
LAMIACEAE,"Eriope angustifolia",Epling,"Eriope angustifolia"
LAMIACEAE,"Eriope confusa",Harley,"Eriope confusa"
LAMIACEAE,"Eriope filifolia",Benth.,"Eriope filifolia"
LAMIACEAE,"Eriope montana",Harley,"Eriope montana"
LAMIACEAE,"Eriope sincorana",Harley,"Eriope sincorana"
LAMIACEAE,"Eriope xavantium",Harley,"Eriope xavantium"
LAMIACEAE,"Hypenia concinna","(Benth.) Harley","Hypenia concinna"
LAMIACEAE,"Hypenia paradisi","(Harley) Harley","Hypenia paradisi"
LAMIACEAE,"Hyptidendron dictiocalyx","(Benth.) Harley","Hyptidendron dictiocalyx"
LAMIACEAE,"Hyptis argyrophylla",Harley,"Hyptis argyrophylla"
LAMIACEAE,"Hyptis asteroides","A.St.-Hil. ex Benth.","Hyptis asteroides"
LAMIACEAE,"Hyptis caduca",Epling,"Hyptis caduca"
LAMIACEAE,"Hyptis coriacea",Benth.,"Hyptis coriacea"
LAMIACEAE,"Hyptis cuniloides",Epling,"Hyptis cuniloides"
LAMIACEAE,"Hyptis dictyodea","Pohl ex Benth.","Hyptis dictyodea"
