family,scientificName,action,situation,details,references
FABACEAE,"Mimosa pyrenea","1.1 Site/area protection","on going","Ocorre no Jardim Botânico de Brasília, na Pousada e Santuário Ecológico Terraviva (C.E.B. Proença et al. 3431) e Parque Estadual dos Pirineus, Goiás (R.F. Monteiro 115).",
FABACEAE,"Mimosa setosissima","1.1 Site/area protection","on going","Ocorre no Parque Estadual da Serra dos Pireneus, Cocalzinho, Goiás (P.G.  Delprete et al. 9739). ",
FABACEAE,"Mimosa splendida","1.1 Site/area protection","on going","Ocorre no Parque Nacional da Chapada dos Veadeiros, em Cavalcante, Goiás (G. Martinelli 16451).",
FABACEAE,"Mimosa ulbrichiana","1.2 Resource & habitat protection","on going","Ocorre na Área de Proteção Ambiental de Itaparica (M.C. Ferreira 1268).",
FABACEAE,"Mimosa ulei","1.1 Site/area protection","on going","Ocorre no Parque Nacional Chapada dos Veadeiros (M.F. Simon s.n., UB 7083; R.C. Mendonça s.n., RB 482183).",
APOCYNACEAE,"Minaria campanuliflora","1.1 Site/area protection","on going","Espécie ocorre no Parque Estadual do Rio Preto (P.L. Ribeiro 409). ",
ASTERACEAE,"Minasia cabralensis","1.1 Site/area protection","on going","A espécie possui registros dentro dos limites do Parque Estadual da Serra do Cabral e no Parque Nacional das Sempre Vivas, ambos em Minas Gerais (CNCFlora, 2013).","CNCFlora - Base de Dados do Centro Nacional de Conservação da Flora <www.cncflora.jbrj.gov.,br>. acesso em: 12.11.2013"
RUBIACEAE,"Mitracarpus pusillus","1.1 Site/area protection","on going","A região de descrição de ocorrência da espécie conta com o Parque Estadual da Serra do Cabral (Universidade Federal de Minas Gerais, 2010). ",
APOCYNACEAE,"Nephradenia filipes","1.1 Site/area protection","on going","Espécie ocorre no Parque Nacional da Chapada dos Guimarães (MMA/ICMBIO, 2009).","MMA/ICMBio. Plano de Manejo do Parque Nacional da Chapada dos Guimarães. Brasília, DF. p. Presente em: <http://www.icmbio.gov.br/portal/images/stories/imgs-unidades-coservacao/parna_chapada-dos-guimaraes.pdf>., 2009."
BROMELIACEAE,"Orthophytum mello-barretoi","1.1 Site/area protection","on going","A espécie ocorre no Parque Nacional da Serra do Cipó.",
BROMELIACEAE,"Orthophytum schulzianum","1.1 Site/area protection","on going","A espécie ocorre no Parque Estadual do Rio Preto.",
LORANTHACEAE,"Oryctina eubrachioides","1.1 Site/area protection","on going","A espécie apresenta ocorrências na área do Parque Nacional Cavernas do Peruaçu.",
