family,scientificNameWithoutAuthorship,scientificNameAuthorship,acceptedNameUsage
BROMELIACEAE,"Neoregelia bragarum","(E.Pereira & L.B.Sm.) Leme","Neoregelia bragarum (E.Pereira & L.B.Sm.) Leme"
BROMELIACEAE,"Neoregelia camorimiana","E.Pereira & I.A.Penna","Neoregelia camorimiana E.Pereira & I.A.Penna"
BROMELIACEAE,"Neoregelia carinata",Leme,"Neoregelia carinata Leme"
BROMELIACEAE,"Neoregelia coimbrae","E.Pereira & Leme","Neoregelia coimbrae E.Pereira & Leme"
BROMELIACEAE,"Neoregelia coriacea","(Antoine) L.B.Sm.","Neoregelia coriacea (Antoine) L.B.Sm."
BROMELIACEAE,"Neoregelia correia-araujoi","E.Pereira & I.A.Penna","Neoregelia correia-araujoi E.Pereira & I.A.Penna"
BROMELIACEAE,"Neoregelia desenganensis",Leme,"Neoregelia desenganensis Leme"
BROMELIACEAE,"Neoregelia eltoniana",W.Weber,"Neoregelia eltoniana W.Weber"
BROMELIACEAE,"Neoregelia fluminensis",L.B.Sm.,"Neoregelia fluminensis L.B.Sm."
BROMELIACEAE,"Neoregelia fosteriana",L.B.Sm.,"Neoregelia fosteriana L.B.Sm."
BROMELIACEAE,"Neoregelia gavionensis","Martinelli & Leme","Neoregelia gavionensis Martinelli & Leme"
BROMELIACEAE,"Neoregelia ilhana",Leme,"Neoregelia ilhana Leme"
BROMELIACEAE,"Neoregelia indecora","(Mez) L.B.Sm.","Neoregelia indecora (Mez) L.B.Sm."
BROMELIACEAE,"Neoregelia kuhlmannii",L.B.Sm.,"Neoregelia kuhlmannii L.B.Sm."
BROMELIACEAE,"Neoregelia lactea","H.Luther & Leme","Neoregelia lactea H.Luther & Leme"
BROMELIACEAE,"Neoregelia leucophoea","(Baker) L.B.Sm.","Neoregelia leucophoea (Baker) L.B.Sm."
BROMELIACEAE,"Neoregelia longipedicellata",Leme,"Neoregelia longipedicellata Leme"
BROMELIACEAE,"Neoregelia macahensis","(Ule) L.B.Sm.","Neoregelia macahensis (Ule) L.B.Sm."
BROMELIACEAE,"Neoregelia macwilliamsii",L.B.Sm.,"Neoregelia macwilliamsii L.B.Sm."
BROMELIACEAE,"Neoregelia martinellii",W.Weber,"Neoregelia martinellii W.Weber"
BROMELIACEAE,"Neoregelia nevaresii","Leme & H.Luther","Neoregelia nevaresii Leme & H.Luther"
BROMELIACEAE,"Neoregelia petropolitana",Leme,"Neoregelia petropolitana Leme"
BROMELIACEAE,"Neoregelia roethii",W.Weber,"Neoregelia roethii W.Weber"
BROMELIACEAE,"Neoregelia rubrovittata",Leme,"Neoregelia rubrovittata Leme"
BROMELIACEAE,"Neoregelia sapiatibensis","E.Pereira & I.A.Penna","Neoregelia sapiatibensis E.Pereira & I.A.Penna"
BROMELIACEAE,"Neoregelia tenebrosa",Leme,"Neoregelia tenebrosa Leme"
BROMELIACEAE,"Neoregelia uleana",L.B.Sm.,"Neoregelia uleana L.B.Sm."
BROMELIACEAE,"Neoregelia watersiana",Leme,"Neoregelia watersiana Leme"
BROMELIACEAE,"Nidularium altimontanum",Leme,"Nidularium altimontanum Leme"
BROMELIACEAE,"Nidularium angustifolium",Ule,"Nidularium angustifolium Ule"
BROMELIACEAE,"Nidularium apiculatum",L.B.Sm.,"Nidularium apiculatum L.B.Sm."
BROMELIACEAE,"Nidularium atalaiaense","E.Pereira & Leme","Nidularium atalaiaense E.Pereira & Leme"
BROMELIACEAE,"Nidularium fradense",Leme,"Nidularium fradense Leme"
BROMELIACEAE,"Nidularium fulgens",Lem.,"Nidularium fulgens Lem."
BROMELIACEAE,"Nidularium itatiaiae",L.B.Sm.,"Nidularium itatiaiae L.B.Sm."
BROMELIACEAE,"Nidularium mangaratibense",Leme,"Nidularium mangaratibense Leme"
BROMELIACEAE,"Nidularium organense",Leme,"Nidularium organense Leme"
BROMELIACEAE,"Nidularium rosulatum",Ule,"Nidularium rosulatum Ule"
BROMELIACEAE,"Nidularium utriculosum",Ule,"Nidularium utriculosum Ule"
BROMELIACEAE,"Nidularium viridipetalum",Leme,"Nidularium viridipetalum Leme"
BROMELIACEAE,"Pitcairnia albiflos",Herb.,"Pitcairnia albiflos Herb."
BROMELIACEAE,"Pitcairnia beycalema",Beer,"Pitcairnia beycalema Beer"
BROMELIACEAE,"Pitcairnia corcovadensis",Wawra,"Pitcairnia corcovadensis Wawra"
BROMELIACEAE,"Pitcairnia encholirioides",L.B.Sm.,"Pitcairnia encholirioides L.B.Sm."
BROMELIACEAE,"Pitcairnia insularis","Tatagiba & R.J.V.Alves","Pitcairnia insularis Tatagiba & R.J.V.Alves"
BROMELIACEAE,"Pitcairnia staminea",Lodd.,"Pitcairnia staminea Lodd."
BROMELIACEAE,"Pitcairnia suaveolens",Lindl.,"Pitcairnia suaveolens Lindl."
BROMELIACEAE,"Pitcairnia wendtiae","Tatagiba & B.R.Silva","Pitcairnia wendtiae Tatagiba & B.R.Silva"
BROMELIACEAE,"Quesnelia edmundoi",L.B.Sm.,"Quesnelia edmundoi L.B.Sm."
BROMELIACEAE,"Quesnelia lateralis",Wawra,"Quesnelia lateralis Wawra"
BROMELIACEAE,"Quesnelia seideliana",L.B.Sm.,"Quesnelia seideliana L.B.Sm."
