occurrenceID,family,familyAccepted,acceptedNameUsage,acceptedNameUsageWithoutAuthorship,decimalLatitude,decimalLongitude,georeferenceProtocol,georeferenceVerificationStatus,georeferencedBy,georeferencedDate,georeferencePrecision,coordinateUncertaintyInMeters,acceptedNameUsage,valid,validation_taxonomy,validation_cultivated,validation_duplicated,validation_native,validation_georeference,contributor,remarks
BRA:IAP:PACA-AGP:0000046243,Rubiaceae,RUBIACEAE,"Psychotria subspathacea Müll.Arg.","Psychotria subspathacea",,,,,,,,,"Psychotria subspathacea Müll.Arg.",,,,,,,"Raquel Negrão",
BRA:IAP:PACA-AGP:0000053321,Myrtaceae,MYRTACEAE,"Eugenia itaguahiensis Nied.","Eugenia itaguahiensis",-28.416191,-54.650965,"google earth",ok,"Fernanda Wimmer",,,"250 a 1000 m","Eugenia itaguahiensis Nied.",true,,,,,,"Fernanda Wimmer ; Lucas Moulton",
BRA:IAP:PACA-AGP:0000062531,Rubiaceae,RUBIACEAE,"Psychotria subspathacea Müll.Arg.","Psychotria subspathacea",,,,,,,,,"Psychotria subspathacea Müll.Arg.",,,,,,,"Raquel Negrão",
BRA:IAP:PACA-AGP:0000077824,Myrtaceae,MYRTACEAE,"Plinia martinellii G.M.Barroso & M.Peron","Plinia martinellii",-22.422874,-42.536108,"google earth",ok,"Fernanda Wimmer",,,"250 a 1000 m","Plinia martinellii G.M.Barroso & M.Peron",true,valid,no,no,native,valid,"Fernanda Wimmer ; Lucas Moulton",
BRA:IAP:PACA-AGP:0000101164,Rubiaceae,RUBIACEAE,"Psychotria subspathacea Müll.Arg.","Psychotria subspathacea",,,,,,,,,"Psychotria subspathacea Müll.Arg.",,,,,,,"Raquel Negrão",
BRA:IAP:PACA-AGP:0000103175,Rubiaceae,RUBIACEAE,"Psychotria subspathacea Müll.Arg.","Psychotria subspathacea",,,,,,,,,"Psychotria subspathacea Müll.Arg.",,,,,,,"Raquel Negrão",
BRA:IBt:SP:0000024994,Rubiaceae,RUBIACEAE,"Manettia fimbriata Cham. & Schltdl.","Manettia fimbriata",,,,,,,,,"Manettia fimbriata Cham. & Schltdl.",,,,,,,"Raquel Negrão",
BRA:IBt:SP:0000366390,Orchidaceae,ORCHIDACEAE,"Octomeria sarcophylla Barb.Rodr.","Octomeria sarcophylla",,,,,,,,,"Octomeria sarcophylla Barb.Rodr.",,,,,,,"Marta Moraes",
BRA:IMA:MAC:0000001040,Myrtaceae,MYRTACEAE,"Myrcia magnifolia (O.Berg) Kiaersk.","Myrcia magnifolia",-10.397204,-36.400033,sig,ok,"Fernanda Wimmer",,,"centroide de municipio","Myrcia magnifolia (O.Berg) Kiaersk.",true,,,,,,"Fernanda Wimmer ; Lucas Moulton",
BRA:IPA:IPA:0000021791,Commelinaceae,COMMELINACEAE,"Dichorisandra gaudichaudiana Kunth","Dichorisandra gaudichaudiana",,,,,,,,,"Dichorisandra gaudichaudiana Kunth",,,,,,,"Lucas Moulton",
BRA:IPA:IPA:0000069127,Commelinaceae,COMMELINACEAE,"Dichorisandra gaudichaudiana Kunth","Dichorisandra gaudichaudiana",,,,,,,,,"Dichorisandra gaudichaudiana Kunth",,,,,,,"Lucas Moulton",
