family,scientificNameWithoutAuthorship,scientificNameAuthorship,analysis,assessment,category,criteria
BROMELIACEAE,"Neoregelia kuhlmannii",L.B.Sm.,done,review,DD,
BROMELIACEAE,"Neoregelia lactea","H.Luther & Leme",done,review,CR,"B2ab(i,ii,iii)"
BROMELIACEAE,"Neoregelia leucophoea","(Baker) L.B.Sm.",done,review,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)"
BROMELIACEAE,"Neoregelia longipedicellata",Leme,done,review,CR,"B2ab(i,ii,iii)"
BROMELIACEAE,"Neoregelia macahensis","(Ule) L.B.Sm.",done,review,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)"
BROMELIACEAE,"Neoregelia macwilliamsii",L.B.Sm.,done,review,CR,"B2ab(i,ii,iii)"
BROMELIACEAE,"Neoregelia martinellii",W.Weber,done,review,CR,"B2ab(i,ii,iii)"
BROMELIACEAE,"Neoregelia nevaresii","Leme & H.Luther",done,review,DD,
BROMELIACEAE,"Neoregelia petropolitana",Leme,done,review,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)"
BROMELIACEAE,"Neoregelia roethii",W.Weber,validation,review,DD,
BROMELIACEAE,"Neoregelia rubrovittata",Leme,done,review,CR,"B2ab(i,ii,iii)"
BROMELIACEAE,"Neoregelia sapiatibensis","E.Pereira & I.A.Penna",done,review,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)"
BROMELIACEAE,"Neoregelia tenebrosa",Leme,done,review,EN,"B2ab(ii,iii)"
BROMELIACEAE,"Neoregelia uleana",L.B.Sm.,done,,,
BROMELIACEAE,"Neoregelia watersiana",Leme,done,review,DD,
BROMELIACEAE,"Nidularium altimontanum",Leme,done,review,CR,"B1ab(i,iii)"
BROMELIACEAE,"Nidularium angustifolium",Ule,done,review,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)"
BROMELIACEAE,"Nidularium apiculatum",L.B.Sm.,validation,review,CR,"B2ab(i,iii)"
BROMELIACEAE,"Nidularium atalaiaense","E.Pereira & Leme",done,open,EN,"B1ab(i,iii,iv)"
BROMELIACEAE,"Nidularium fradense",Leme,done,review,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)"
BROMELIACEAE,"Nidularium fulgens",Lem.,validation,review,VU,"B1ab(i,iii)"
BROMELIACEAE,"Nidularium itatiaiae",L.B.Sm.,done,review,EN,"B1ab(iii,v)+2ab(iii,v)"
BROMELIACEAE,"Nidularium mangaratibense",Leme,done,review,CR,"B2ab(iii,v)"
BROMELIACEAE,"Nidularium organense",Leme,done,review,CR,"B2ab(i,ii,iii)"
BROMELIACEAE,"Nidularium rosulatum",Ule,validation,review,VU,"B1ab(i,iii)"
BROMELIACEAE,"Nidularium utriculosum",Ule,validation,open,,
BROMELIACEAE,"Nidularium viridipetalum",Leme,done,review,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)"
BROMELIACEAE,"Pitcairnia albiflos",Herb.,validation,,,
BROMELIACEAE,"Pitcairnia beycalema",Beer,validation,,,
BROMELIACEAE,"Pitcairnia corcovadensis",Wawra,validation,,,
BROMELIACEAE,"Pitcairnia encholirioides",L.B.Sm.,validation,,,
BROMELIACEAE,"Pitcairnia insularis","Tatagiba & R.J.V.Alves",validation,,,
BROMELIACEAE,"Pitcairnia staminea",Lodd.,validation,,,
BROMELIACEAE,"Pitcairnia suaveolens",Lindl.,validation,,,
BROMELIACEAE,"Pitcairnia wendtiae","Tatagiba & B.R.Silva",validation,,,
BROMELIACEAE,"Quesnelia edmundoi",L.B.Sm.,validation,,,
BROMELIACEAE,"Quesnelia lateralis",Wawra,validation,,,
BROMELIACEAE,"Quesnelia seideliana",L.B.Sm.,validation,,,
BROMELIACEAE,"Tillandsia brachyphylla",Baker,done,review,EN,"B1ab(iii,v)+2ab(iii,v)"
BROMELIACEAE,"Tillandsia carminea",W.Till,validation,review,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)"
BROMELIACEAE,"Tillandsia grazielae","D.Sucre & R.Braga",done,review,EN,"B2ab(iii,iv)"
BROMELIACEAE,"Tillandsia neglecta",E.Pereira,validation,review,CR,"B2ab(iii,iv)"
BROMELIACEAE,"Tillandsia nuptialis","R.Braga & Sucre",done,review,CR,"B2ab(i,ii,iii)"
BROMELIACEAE,"Tillandsia organensis",Ehlers,validation,review,CR,"B2ab(i,ii,iii)"
BROMELIACEAE,"Tillandsia reclinata","E.Pereira & Martinelli",validation,review,CR,"B2ab(i,ii,v);C2a(i,ii);D"
BROMELIACEAE,"Tillandsia roseiflora","Ehlers & W.Weber",validation,review,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)"
BROMELIACEAE,"Tillandsia sucrei",E.Pereira,done,review,CR,"B1ab(i,ii,iii)"
BROMELIACEAE,"Tillandsia thiekenii",Ehlers,validation,review,DD,
BROMELIACEAE,"Vriesea altimontana","E.Pereira & Martinelli",validation,,,
BROMELIACEAE,"Vriesea altomacaensis",A.F.Costa,validation,review,CR,"B1ab(i,iii)"
BROMELIACEAE,"Vriesea atrococcinea",Rauh,done,review,DD,
BROMELIACEAE,"Vriesea bleherae","Roth & W. Weber",done,,,
BROMELIACEAE,"Vriesea botafogensis",Mez,validation,review,EN,"B2ab(ii,iii)"
BROMELIACEAE,"Vriesea brassicoides","(Baker) Mez",done,review,EN,"B2ab(ii,iii)"
BROMELIACEAE,"Vriesea costae","B.R. Silva & Leme",done,review,EN,"B2ab(ii,iii)"
BROMELIACEAE,"Vriesea croceana","Leme & G.K.Br.",done,review,DD,
BROMELIACEAE,"Vriesea fidelensis",Leme,done,review,DD,
BROMELIACEAE,"Vriesea fluminensis",E.Pereira,done,,,
BROMELIACEAE,"Vriesea fontourae","B.R. Silva",done,review,CR,"B2ab(i,ii,iii)"
BROMELIACEAE,"Vriesea fradensis",A.F.Costa,done,review,EN,"B2ab(ii,iii)"
BROMELIACEAE,"Vriesea garlippiana",Leme,done,review,CR,"B2ab(i,ii,iii)"
BROMELIACEAE,"Vriesea gastiniana","Leme & G.K.Br.",done,review,DD,
BROMELIACEAE,"Vriesea goniorachis","(Baker) Mez",validation,review,EN,"B2ab(ii,iii)"
BROMELIACEAE,"Vriesea leptantha",Harms,validation,open,CR,"B1ab(i,ii,iii)"
BROMELIACEAE,"Vriesea lidicensis",Reitz,validation,open,,
BROMELIACEAE,"Vriesea nubicola",Leme,done,open,DD,
BROMELIACEAE,"Vriesea pastuchoffiana",Glaz.,done,open,EN,"B1ab(i,ii,iii,v)"
BROMELIACEAE,"Vriesea punctulata","E.Pereira & I.A.Penna",done,,,
BROMELIACEAE,"Vriesea rubyae",E.Pereira,done,,,
BROMELIACEAE,"Vriesea saundersii","(Carrière) E.Morren ex Mez",validation,,,
BROMELIACEAE,"Vriesea serrana","E.Pereira & I.A.Penna",done,,,
BROMELIACEAE,"Vriesea sucrei","L.B.Sm. & Read",validation,,,
BROMELIACEAE,"Vriesea teresopolitana",Leme,done,,,
BROMELIACEAE,"Vriesea thyrsoidea",Mez,done,open,,
BROMELIACEAE,"Vriesea triligulata",Mez,done,,,
BROMELIACEAE,"Vriesea vidalii","L.B.Sm. & Handro",done,,,
BROMELIACEAE,"Vriesea warmingii",E.Morren,validation,,,
BROMELIACEAE,"Vriesea zildae","R. Moura & A. F. Costa",done,,,
BURSERACEAE,"Tetragastris breviacuminata",Swart,done,comments,EN,"B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)"
CACTACEAE,"Pilosocereus ulei","(K.Schum.) Byles & G.D.Rowley",validation,,,
CACTACEAE,"Rhipsalis flagelliformis","N.P.Taylor & Zappi",validation,,,
CACTACEAE,"Rhipsalis mesembryanthemoides",Haw.,validation,,,
CACTACEAE,"Rhipsalis ormindoi","N.P.Taylor & Zappi",validation,,,
CACTACEAE,"Rhipsalis pentaptera",A.Dietr.,validation,,,
CALOPHYLLACEAE,"Kielmeyera excelsa",Cambess.,validation,open,VU,D2
CALOPHYLLACEAE,"Kielmeyera gracilis",Wawra,validation,comments,DD,
CALOPHYLLACEAE,"Kielmeyera insignis",Saddi,done,comments,DD,
